StationName,StationName_x,StationName_y,gaugeId,gaugeId_x,gaugeId_y
Tossaye,-3.1796,16.4157,hybas_1120641660,-4.20625,14.50625
Koryoume,-3.0333,16.6666,hybas_1120641660,-4.20625,14.50625
Goundam,-3.65,16.42,hybas_1120641660,-4.20625,14.50625
Dire,-3.383333,16.279167,hybas_1120641660,-4.20625,14.50625
Tonka,-3.75,16.13,hybas_1120641660,-4.20625,14.50625
Sarafere,-3.7,15.82,hybas_1120641660,-4.20625,14.50625
Ansongo,0.494453,15.664934,hybas_1120641660,-4.20625,14.50625
Akka,-4.23,15.4,hybas_1120641660,-4.20625,14.50625
Kayes,-11.44,14.453516,hybas_1121919510,-8.10625,12.410416666665697
Kabate,-11.1955,14.5228,hybas_1121919510,-8.10625,12.410416666665697
Kara,-5.02,14.17,hybas_1121893090,-5.039583333,14.131249999998944
Tilembeya,-4.98,14.15,hybas_1121893090,-5.039583333,14.131249999998944
Sofara,-4.2429,14.01393,hybas_1121890140,-4.422916667,14.314583333332337
Ke Macina,-5.37,13.95,hybas_1121895840,-5.360416667,13.956249999998818
Galougo,-11.13,13.83,hybas_1121919510,-8.10625,12.410416666665697
Kirango Aval,-6.05,13.7167,hybas_1121900350,-5.89375,13.68541666666556
Toukoto,-9.88,13.45,hybas_1121919510,-8.10625,12.410416666665697
Beneny Kegny,-4.92,13.38,hybas_1121895840,-5.360416667,13.956249999998818
Oualia,-10.375878,13.590623,hybas_1121919510,-8.10625,12.410416666665697
Siramakana,-9.004682,14.225728,hybas_1120661040,-7.152083333,13.985416666665571
Gourbassy,-11.63,13.395,hybas_1120737100,-8.322916667,12.018749999998988
Dibia,-10.799,13.231,hybas_1120737100,-8.322916667,12.018749999998988
Koulikoro,-7.556389,12.859333,hybas_1120705070,-7.58125,12.835416666665594
Dioila,-6.8,12.52,hybas_1120739110,-6.360416667,11.977083333332189
Bafing Makana,-10.283334,12.55,hybas_1120737100,-8.322916667,12.018749999998988
Daka Saydou,-10.3644,12.1925,hybas_1120737100,-8.322916667,12.018749999998988
Kouoro 2,-5.69652,12.02347,hybas_1120739110,-6.360416667,11.977083333332189
Gouala,-8.23,11.97,hybas_1120737100,-8.322916667,12.018749999998988
Banankoro,-8.66526,11.68898,hybas_1120737100,-8.322916667,12.018749999998988
Selingue,-8.17,11.58,hybas_1120737100,-8.322916667,12.018749999998988
Bougouni,-7.4497,11.39821,hybas_1120758950,-6.58125,11.427083333332233
Na,-4.20549,14.48842,hybas_1120641660,-4.20625,14.50625
Niger River At Tossaye,-0.58,16.93,hybas_1120641660,-4.20625,14.50625
Tamani,-6.83,13.33,hybas_1121905290,-6.789583333,13.360416666665628
Banifing At Kolondieba,-6.85,11.07,hybas_1120758950,-6.58125,11.427083333332233
Koli-Koli A Korientze,-3.7892,15.397,hybas_1120641660,-4.20625,14.50625
Bara Issa A Awoye,-4.1134,15.387,hybas_1120641660,-4.20625,14.50625
Gao,-0.05,16.26,hybas_1120641660,-4.20625,14.50625
Pankourou,-6.57652,11.44886,hybas_1120758950,-6.58125,11.427083333332233
Bamako,-7.99846,12.6313,hybas_1121919510,-8.10625,12.410416666665697
Diangola,-9.48,12.8,hybas_1120737100,-8.322916667,12.018749999998988
Niger A Kenieroba,-8.32,12.107,hybas_1120737100,-8.322916667,12.018749999998988
Guelelinkoro,-8.564305,11.15,hybas_1120766460,-8.485416667,11.22291666666553
Mahina,-10.85,13.75,hybas_1121919510,-8.10625,12.410416666665697
Douna,-5.899745,13.217252,hybas_1120679780,-6.202083333,13.493749999998954
Kana,-6.34,12.95,hybas_1120679780,-6.202083333,13.493749999998954
Baoule At Madina Diassa,-7.67,10.8,hybas_1120766460,-8.485416667,11.22291666666553
